->apsoros|absoros
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->immurmuro|inmurmuro
LS|inmurmuro|inmurmŭro|āre||v. n.|to murmur in, at, against|immurmuro|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->immusicus|inmusicus
LS|inmusicus|inmūsĭcus|a, um||adj.|unmusical|immusicus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->immutabilitas|inmutabilitas
LS|inmutabilitas|inmūtābĭlĭtas|ātis|f.||unchangeableness, immutability|immutabilitas|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->immutatio|inmutatio
LS|inmutatio|inmūtātĭo|ōnis|f.||a change, exchanging, interchange, substitution of one thing for another|immutatio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->immutator|inmutator
LS|inmutator|inmūtātor|ōris|m.||a changer|immutator|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->immutesco|inmutesco
LS|inmutesco|inmūtesco|tŭi, 3||v. inch. n.|to become dumb, speechless|immutesco|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->immutilatus|inmutilatus
LS|inmutilatus|inmŭtĭlātus|a, um||adj.|-I. maimed, mutilated -II. unmutilated, entire|immutilatus1|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impacatus|inpacatus
LS|inpacatus|inpācātus|a, um||adj.|not peaceable, unquiet|impacatus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impactio|inpactio
LS|inpactio|inpactĭo|ōnis|f.||a striking against, concussion, impact|impactio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impaenitendus|inpaenitendus
LS|inpaenitendus|inpaenĭtendus|a, um||adj.|not to be repented of|impaenitendus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impaenitens|inpaenitens
LS|inpaenitens|inpaenĭtens|entis||adj.|not repenting, impenitent|impaenitens|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impaenitentia|inpaenitentia
LS|inpaenitentia|inpaenĭtentĭa|ae|f.||impenitence|impaenitentia|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impaenitus|inpaenitus
LS|inpaenitus|inpaenītus|||||impaenitus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impages|inpages
LS|inpages|inpāges|is|f.||the border, frame-work which surrounds the panel of a door|impages|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impallesco|inpallesco
LS|inpallesco|inpallesco|lŭi, 3||v. inch. n.|to grow, turn pale in, at|impallesco|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impalpebratio|inpalpebratio
LS|inpalpebratio|inpalpĕbrātĭo|ōnis|f.||loss of motion in the eyelids|impalpebratio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imparatio|inparatio
LS|inparatio|inpărātĭo|ōnis|f.||indigestion, med.|imparatio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imparatus|inparatus
LS|inparatus|inpărātus|a, um||adj.|not ready, unprepared, unprovided, unfurnished, Sup.|imparatus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inparatus|inpara_tus, inpara_ta, inpara_tum : a
WW||||
->imparilis|inparilis
LS|inparilis|inpărĭlis|e||adj.|unequal, unlike, different|imparilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imparilitas|inparilitas
LS|inparilitas|inpărĭlĭtas|ātis|f.||inequality, difference, lack of, correspondence|imparilitas|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impartibilis|inpartibilis
LS|inpartibilis|inpartĭbĭlis|e||adj.|indivisible|impartibilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impartio|inpartio
LS|
GG|
GJ|inpartio|inpartĭo|īre, īvi (ĭi), ītum [pars]|(Lebaigue P. 598 et P. 599) - tr. - 1 - faire partager, faire part (de qqch à qqn, alicui aliquid), communiquer, donner, distribuer. - 2 - accorder, consacrer (son temps, sa peine, à + dat.).
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impascor|inpascor
LS|inpascor|inpascor|sci||v. pass.|to feed, be pastured in|impascor|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impassibilis|inpassibilis
LS|inpassibilis|inpassĭbĭlis|e||adj.|incapable of passion, passionless, Adv.|impassibilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||inpassibilis, inpassibilis||
->impassibilitas|inpassibilitas
LS|inpassibilitas|inpassĭbĭlĭtas|ātis|f.||incapacity for suffering;|impassibilitas|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impassibiliter|inpassibiliter
LS|inpassibiliter|inpassĭbĭlĭter|||adv.||impassibiliter|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impastus|inpastus
LS|inpastus|inpastus|a, um||adj.|unfed, hungry|impastus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impatienter|inpatienter
LS|inpatienter|inpătĭenter|||adv.||impatienter|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impatientia|inpatientia
LS|inpatientia|inpătĭentĭa|ae|f.||Unwillingness, inability to bear, want of endurance, impatience|impatientia|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inpatientia|inpatientia, inpatientiae : f
WW||||
->impausabilis|inpausabilis
LS|inpausabilis|inpausābĭlis|e||adj.|unceasing, incessant, Adv.|impausabilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impavide|inpavide
LS|inpavide|inpăvĭdē|||adv.||impavide|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impeccabilis|inpeccabilis
LS|inpeccabilis|inpeccābĭlis|e||adj.|faultless, sinless, impeccable|impeccabilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impeccantia|inpeccantia
LS|inpeccantia|inpeccantĭa|ae|f.||faultlessness, sinlessness|impeccantia|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impedatio|inpedatio
LS|inpedatio|inpĕdātĭo|ōnis|f.||a propping, supporting with props|impedatio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impedico|inpedico
LS|inpedico|inpĕdĭco|āre||v. a.|to catch, entangle|impedico|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impeditio|inpeditio
LS|inpeditio|inpĕdītĭo|ōnis|f.||a hinderance, obstruction|impeditio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impedito|inpedito
LS|inpedito|inpĕdĭto|āre||v. freq. a.|to hinder, impede|impedito|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impeditor|inpeditor
LS|inpeditor|inpĕdītor|ōris|m.||a hinderer, obstructer|impeditor|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impedo|inpedo
LS|inpedo|inpĕdo|āre||v. a.|to prop, support|impedo|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impendio|inpendio
LS|inpendio|inpendĭo||||compp.|impendium|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impendiosus|inpendiosus
LS|inpendiosus|inpendĭōsus|a, um||adj.|that spends too much, extravagant|impendiosus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impendium|inpendium
LS|inpendium|inpendĭum|ĭi|n.||fem., money laid out, outlay, cost, charge, expense|impendium|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inpendium|inpendium, inpend(i)i_ : n
WW||||
->impenetrabilis|inpenetrabilis
LS|inpenetrabilis|inpĕnĕtrābĭlis|e||adj.|that cannot be penetrated, impenetrable|impenetrabilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperative|inperative
LS|inperative|inpĕrātīvē|||adv.||imperative|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperativus|inperativus
LS|inperativus|inpĕrātīvus|a, um||adj.|of or proceeding from a command, commanded, Adv.|imperativus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperatorie|inperatorie
LS|inperatorie|inpĕrātōrĭē|||adv.||imperatorie|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperatrix|inperatrix
LS|inperatrix|inpĕrātrix|īcis|f.||she who commands, a mistress|imperatrix|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperceptus|inperceptus
LS|inperceptus|inperceptus|a, um||adj.|unperceived, unknown|imperceptus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperco|inperco
LS|inperco|inperco|ĕre||v. n.|to spare|imperco|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impercussus|inpercussus
LS|inpercussus|inpercussus|a, um||adj.|not struck, unstruck|impercussus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperditus|inperditus
LS|inperditus|inperdĭtus|a, um||adj.|not destroyed, not slain|imperditus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperfectio|inperfectio
LS|inperfectio|inperfectĭo|ōnis|f.||imperfection|imperfectio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperfectus|inperfectus
LS|inperfectus|inperfectus|a, um||adj.|unfinished, incomplete, imperfect, Comp., subst.|imperfectus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inperfectus|inperfectus, inperfecta, inperfectum : a
WW||||
->imperfossus|inperfossus
LS|inperfossus|inperfossus|a, um||adj.|unpierced, unstabbed|imperfossus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperfundies|inperfundies
LS|inperfundies|inperfundĭes|ēi|f.||filth, impurity|imperfundies|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperiabiliter|inperiabiliter
LS|inperiabiliter|inpĕrĭābĭlĭter|||adv.|commandingly, imperiously|imperiabiliter|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperialis|inperialis
LS|inperialis|inpĕrĭālis|e||adj.|of the empire, emperor, imperial, Adv.|imperialis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||inperialis, inperialis||
->imperiose|inperiose
LS|inperiose|inpĕrĭōsē|||adv.||imperiose|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperite|inperite
LS|inperite|inpĕrītē|||adv.||imperite|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperitia|inperitia
LS|inperitia|inpĕrītĭa|ae|f.||inexperience, ignorance, awkwardness, in lemm.|imperitia|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inperitia|inperi_tia, inperi_tiae : f
WW||||
->imperjuratus|inperjuratus
LS|inperjuratus|inperjūrātus|a, um||adj.|that is never sworn falsely by|imperjuratus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impermissus|inpermissus
LS|inpermissus|inpermissus|a, um||adj.|unlawful, forbidden|impermissus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impermixtus|inpermixtus
LS|inpermixtus|inpermixtus|a, um||adj.|unmixed|impermixtus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperpetuus|inperpetuus
LS|inperpetuus|inperpĕtŭus|a, um||adj.|not perpetual|imperpetuus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperscrutabilis|inperscrutabilis
LS|inperscrutabilis|inperscrūtābĭlis|e||adj.|impenetrable, inscrutable|imperscrutabilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impersonalis|inpersonalis
LS|inpersonalis|inpersōnālis|e||adj.|impersonal, Adv.|impersonalis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impersonativus|inpersonativus
LS|inpersonativus|inpersōnātīvus|i|m.||the impersonal mood, the infinitive|impersonativus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperspicabilis|inperspicabilis
LS|inperspicabilis|inperspĭcābĭlis|e||adj.|that cannot be seen through, inscrutable, incomprehensible|imperspicabilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperspicuus|inperspicuus
LS|inperspicuus|inperspĭcŭus|a, um||adj.|not clear, obscure|imperspicuus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impertilis|inpertilis
LS|inpertilis|inpertĭlis|e||adj.|indivisible|impertilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impertinens|inpertinens
LS|inpertinens|inpertĭnens|entis||adj.|not belonging thereto|impertinens|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impertitio|inpertitio
LS|inpertitio|inpertītĭo|ōnis|f.||an imparting|impertitio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperturbabilis|inperturbabilis
LS|inperturbabilis|inperturbābĭlis|e||adj.|that cannot be disturbed, imperturbable|imperturbabilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperturbatio|inperturbatio
LS|inperturbatio|inperturbātĭo|ōnis|f.||freedom from disturbance, tranquillity|imperturbatio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imperturbatus|inperturbatus
LS|inperturbatus|inperturbātus|a, um||adj.|undisturbed, unruffled, calm, med.|imperturbatus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impervius|inpervius
LS|inpervius|inpervĭus|a, um||adj.|that cannot be passed through, impassable, impervious|impervius|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inpervius|inpervius, inpervia, inpervium : a
WW||||
->impetibilis|inpetibilis
LS|inpetibilis|inpĕtĭbĭlis|e||adj.|-I. Pass., insufferable, insupportable, intolerable -II. assailing, making an assault|impetibilis1|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impetiginosus|inpetiginosus
LS|inpetiginosus|inpĕtīgĭnōsus|i|m.||one who has the impetigo|impetiginosus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impeto|inpeto
LS|inpeto|inpĕto|ĕre||v. a.|to rush upon, assail, attack|impeto|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||inpeto, inpeti(v)i|inpeto, inpetitum
->impetratio|inpetratio
LS|inpetratio|inpĕtrātĭo|ōnis|f.||an obtaining by request, accomplishment, Plur.|impetratio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impetrativus|inpetrativus
LS|inpetrativus|inpĕtrātīvus|a, um||adj.|obtained by entreaty, vows|impetrativus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impetrator|inpetrator
LS|inpetrator|inpĕtrātor|ōris|m.||one who obtains, an obtainer|impetrator|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impetulans|inpetulans
LS|inpetulans|inpĕtŭlans|antis||adj.|very petulant|impetulans|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impetuose|inpetuose
LS|inpetuose|inpĕtŭōsē||||violently, impetuously|impetuosus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impexus|inpexus
LS|inpexus|inpexus|a, um||adj.|uncombed|impexus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inpexus|inpexus, inpexa, inpexum : a
WW||||
->impiamentum|inpiamentum
LS|inpiamentum|inpĭāmentum|i|n.||contamination, defilement|impiamentum|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impico|inpico
LS|inpico|inpĭco|āre||v. a.|to cover with pitch|impico|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impie|inpie
LS|inpie|inpĭē|||adv.||impie|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impietas|inpietas
LS|inpietas|inpĭĕtas|ātis|f.||want of reverence, respect, irreverence, ungodliness, impiety, undutifulness, disloyalty, of disloyalty, treason to one's country|impietas|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inpietas|inpieta_s, inpieta_tis : f
WW||||
->impigritas|inpigritas
LS|inpigritas|inpī̆grĭtas|ātis|f.||activity, indefatigableness|impigritas|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impigritia|inpigritia
LS|inpigritia|inpī̆grĭtĭa|ae|f.||activity, indefatigableness, persistency|impigritia|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impinguo|inpinguo
LS|inpinguo|inpinguo|no perf., ātum, 1||v. a. and n.|I. Act., to make fat II. Neutr., to become fat|impinguo|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||inpinguo, inpinguavi|inpinguo, inpinguatum
->impio|inpio
LS|inpio|inpĭo|āvi, ātum, 1||v. a.|to render impious, sinful, to stain, defile with sin, to pollute, Pass. impers.|impio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implacabilitas|inplacabilitas
LS|inplacabilitas|inplācābĭlĭtas|ātis|f.||implacability|implacabilitas|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implacatus|inplacatus
LS|inplacatus|inplācātus|a, um||adj.|unappeased, unsatisfied, unallayed|implacatus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inplacatus|inpla_ca_tus, inpla_ca_ta, inpla_ca_tum : a
WW||||
->implago|inplago
LS|inplago|inplăgo|āre||v. a.|to bring into a net, to entangle, ensnare.|implago|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implano|inplano
LS|inplano|inplāno|āvi, ātum, 1||v. a.|to deceive, delude|implano|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||inplano, inplanavi|inplano, inplanatum
->implanus|inplanus
LS|inplanus|inplānus|a, um||adj.|uneven|implanus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implebilis|inplebilis
LS|inplebilis|inplēbĭlis|e||adj.|filling up|implebilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implecticus|inplecticus
LS|inplecticus|inplectĭcus|a, um||adj.|that turns about with difficulty, immovable|implecticus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implecto|inplecto
LS|inplecto|inplecto|xi, xum, 3||v. a.|to plait, wind, twist into, to wind, twist among, to interweave, interlace, entwine|implecto|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implementum|inplementum
LS|inplementum|inplēmentum|i|n.||a filling up|implementum|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impletio|inpletio
LS|inpletio|inplētĭo|ōnis|f.||the ful filment|impletio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|inpletus
LS|inpletus|inplētus|a, um||||impletus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implexio|inplexio
LS|inplexio|inplexĭo|ōnis|f.||an entwining, entangling|implexio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implicamentum|inplicamentum
LS|inplicamentum|inplĭcāmentum|i|n.||an involvement, entanglement, med.|implicamentum|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implicatio|inplicatio
LS|inplicatio|inplĭcātĭo|ōnis|f.||an entwining, interweaving, entanglement|implicatio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implicatura|inplicatura
LS|inplicatura|inplĭcātūra|ae|f.||an entangling|implicatura|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implicatus|inplicatus
LS|inplicatus|inplĭcātus|a, um||P. a.||implicatus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impliciscor|inpliciscor
LS|inpliciscor|inplĭciscor|sci||v. dep. inch. n.|to become confused, disordered, act.|impliciscor|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implicite|inplicite
LS|inplicite|inplĭcĭtē|||adv.|intricately|implicite|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implicito|inplicito
LS|inplicito|inplĭcĭto|āre||v. freq. a.|to entwine, interweave|implicito|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implicitus|inplicitus
LS|inplicitus|inplĭcĭtus|a, um||||implicitus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implorabilis|inplorabilis
LS|inplorabilis|inplōrābĭlis|e||adj.|that may be prayed to for help|implorabilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imploratio|inploratio
LS|inploratio|inplōrātĭo|ōnis|f.||a beseeching for help, imploring|imploratio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->implumbo|inplumbo
LS|inplumbo|inplumbo|āvi, 1||v. a.|to solder in with lead|implumbo|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|inplutus
LS|inplutus|inplūtus|a, um||||implutus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impluviatus|inpluviatus
LS|inpluviatus|inplŭvĭātus|a, um||adj.|shaped like an, four-sided, having a square border|impluviatus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impolite|inpolite
LS|inpolite|inpŏlītē|||adv.||impolite|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impolitia|inpolitia
LS|inpolitia|inpŏlītĭa|ae|f.||want of neatness, carelessness, negligence|impolitia|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impolitus|inpolitus
LS|inpolitus|inpŏlītus|a, um||adj.|unpolished, rough|impolitus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impollutus|inpollutus
LS|inpollutus|inpollūtus|a, um||adj.|unstained, unpolluted|impollutus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imporcitor|inporcitor
LS|Inporcitor|Inporcĭtor|ōris|m.||a deity that presides over the drawing of furrows|Imporcitor|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imporco|inporco
LS|inporco|inporco|no perf., ātum, 1||v. a.|to put into furrows;|imporco|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->importabilis|inportabilis
LS|inportabilis|inportābĭlis|e||adj.|that cannot be borne, insupportable;, med., Adv.|importabilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->importaticius|inportaticius
LS|inportaticius|inportātīcĭus|a, um||adj.|brought in from abroad, imported|importaticius|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->importune|inportune
LS|inportune|inportūnē|||adv.||importunus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->importunus|inportunus
LS|inportunus|inportūnus|a, um||adj.|unfit, unsuitable, inconvenient|importunus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inportunus|inportu_nus, inportu_na, inportu_num : a
WW||||
->importuosus|inportuosus
LS|inportuosus|inportŭōsus|a, um||adj.|without a harbor|importuosus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|inportuosus|inportuo_sus, inportuo_sa, inportuo_sum : a
WW||||
->impos|inpos
LS|inpos|inpŏs|ŏtis||adj.|not master of, not possessed of, without power over, absol., not partaking of, without|impos|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||inpos, inpotis||
->impositicius|inpositicius
LS|inpositicius|inpŏsĭtīcĭus|a, um||adj.|laid on, applied|impositicius|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impositio|inpositio
LS|inpositio|inpŏsĭtĭo|ōnis|f.||the application|impositio|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impositivus|inpositivus
LS|inpositivus|inpŏsĭtīvus|a, um||adj.|applied|impositivus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impositor|inpositor
LS|inpositor|inpŏsĭtor|ōris|m.||one who applies a name|impositor|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impossibilis|inpossibilis
LS|inpossibilis|inpossĭbĭlis|e||adj.|impossible, med.|impossibilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impossibilitas|inpossibilitas
LS|inpossibilitas|inpossĭbĭlĭtas|ātis|f.||impossibility|impossibilitas|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impostor|inpostor
LS|inpostor|inpostor|ōris|m.||a deceiver, impostor|impostor|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impostura|inpostura
LS|inpostura|inpostūra|ae|f.||deceit, imposture|impostura|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|inpostus
LS|inpostus|inpostus|a, um||||impostus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impotabilis|inpotabilis
LS|inpotabilis|inpōtābĭlis|e||adj.|not drinkable|impotabilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impotenter|inpotenter
LS|inpotenter|inpŏtenter|||adv.||impotenter|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impraegno|inpraegno
LS|inpraegno|inpraegno|ātum, 1||v. a.|to impregnate, make pregnant|impraegno|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impraepedite|inpraepedite
LS|inpraepedite|inpraepĕdītē|||adv.||impraepedite|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impraepeditus|inpraepeditus
LS|inpraepeditus|inpraepĕdītus|a, um||adj.|unhindered, Adv., without hinderance;|impraepeditus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impraeputiatus|inpraeputiatus
LS|inpraeputiatus|inpraepūtĭātus|a, um||adj.|having the prepuce, uncircumcised|impraeputiatus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impraescientia|inpraescientia
LS|inpraescientia|inpraescĭentĭa|ae|f.||a not knowing beforehand, want of prescience|impraescientia|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impraestabilis|inpraestabilis
LS|inpraestabilis|inpraestābĭlis|e||adj.|useless, med.|impraestabilis|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->impransus|inpransus
LS|inpransus|inpransus|a, um||adj.|that has not breakfasted, fasting|impransus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
->imprecatio|inprecatio
